equipe,date,profondeur,commentaire

1, 2025-12-20 10:00, 0, entrée sous terre
1, 2025-12-20 13:00, -500, bivouac - 500 m
1, 2025-12-20 18:00, -900, arrivée bivouac -900 m - pause bouffe
1, 2025-12-20 19:00, -900, départ bivouac -900 m pour -1000 m
1, 2025-12-20 20:00, -1000, départ bivouac -900 m pour -1000 m
1, 2025-12-20 21:00, -1000, départ bivouac -900 m pour -1000 m
1, 2025-12-20 22:00, -900, départ bivouac -900 m pour -1000 m
1, 2025-12-20 22:30, -900, départ bivouac -900 m pour -1000 m
1, 2025-12-21 03:00, -500, départ bivouac -900 m pour -1000 m
1, 2025-12-21 09:00, -500, bivouac - 500 m
1, 2025-12-21 13:00, -0, sortie


2, 2025-12-20 12:00, 0, entrée sous terre
2, 2025-12-20 16:00, -500, bivouac - 500 m
2, 2025-12-20 17:00, -500, bivouac - 500 m
2, 2025-12-20 21:00, -900, bivouac -900 m
2, 2025-12-21 08:00, -900, bivouac -900 m
2, 2025-12-21 09:00, -1000, bivouac -900 m


3, 2025-12-20 12:00, 0, entrée sous terre
3, 2025-12-20 17:00, -500, bivouac - 500 m
3, 2025-12-21 09:00, -500, bivouac - 500 m
3, 2025-12-21 13:00, -0, sortie
